epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.85193,2.8144,4.24264,1.31873,0,0,0,0,3.32635,4.09436,1.44253,0,0,0
2,12.3081,3.02254,4.23651,1.28101,0,0,0,0,3.21862,4.08291,1.39988,1.6505e-05,1.6505e-05,1.6505e-05
3,17.342,2.92065,4.23817,1.26906,0,0,0,0,3.06977,4.06238,1.34847,3.26799e-05,3.26799e-05,3.26799e-05
4,22.1624,2.80938,4.13293,1.30113,0,0,0,0,2.96351,4.04295,1.30587,4.85247e-05,4.85247e-05,4.85247e-05
5,27.2209,2.73316,4.08134,1.20127,0.00215,0.01962,0.0011,0.00046,2.77264,3.97256,1.21951,6.40395e-05,6.40395e-05,6.40395e-05
6,32.2089,2.52546,4.01108,1.19533,0.01087,0.09962,0.0064,0.00206,2.58551,3.94091,1.15705,7.92242e-05,7.92242e-05,7.92242e-05
7,37.3166,2.59779,3.89816,1.11979,0.01976,0.20885,0.01328,0.0045,2.45603,3.89652,1.1161,9.40788e-05,9.40788e-05,9.40788e-05
8,42.4427,2.40577,3.72885,1.09926,0.03194,0.36212,0.02406,0.0075,2.36547,3.85763,1.08561,0.000108603,0.000108603,0.000108603
9,47.2955,2.1804,3.58838,1.03946,0.0433,0.47385,0.03467,0.01106,2.28342,3.82225,1.05753,0.000122798,0.000122798,0.000122798
10,52.1525,2.28991,3.4046,1.08447,0.05063,0.54712,0.04211,0.01309,2.27277,3.80127,1.0432,0.000136662,0.000136662,0.000136662
11,57.0338,2.3154,3.16367,1.08911,0.05731,0.62635,0.04843,0.01574,2.20293,3.75775,1.02351,0.000150197,0.000150197,0.000150197
12,61.9799,2.45931,3.00763,1.06864,0.0612,0.65,0.0512,0.01731,2.16281,3.72508,1.01215,0.000163401,0.000163401,0.000163401
13,67.0726,2.45352,2.74612,1.0264,0.05398,0.57635,0.04275,0.01413,2.14323,3.7009,1.00388,0.000176275,0.000176275,0.000176275
14,72.0768,2.23959,2.48325,0.99473,0.05323,0.55077,0.04126,0.013,2.16814,3.67352,1.00638,0.000188819,0.000188819,0.000188819
15,77.0672,2.2145,2.30534,0.96501,0.0564,0.58519,0.04474,0.01542,2.18987,3.59915,0.9949,0.000201034,0.000201034,0.000201034
16,81.8882,2.20383,2.16235,0.99372,0.07314,0.73096,0.1607,0.05327,2.16091,3.50145,0.98279,0.000212918,0.000212918,0.000212918
17,86.9866,2.30737,2.17676,0.97212,0.07759,0.76981,0.25109,0.08909,2.16527,3.41198,0.97908,0.000224472,0.000224472,0.000224472
18,92.137,2.26122,2.03406,0.96436,0.07759,0.76981,0.25109,0.08909,2.16527,3.41198,0.97908,0.000235695,0.000235695,0.000235695
19,97.2185,2.20258,1.92519,1.01015,0.08171,0.80904,0.38358,0.125,2.18861,3.33116,0.98334,0.000246589,0.000246589,0.000246589
20,102.084,2.13734,1.83831,0.99024,0.08171,0.80904,0.38358,0.125,2.18861,3.33116,0.98334,0.000257153,0.000257153,0.000257153
21,107.432,2.20346,1.89557,0.95813,0.08711,0.8575,0.50318,0.15614,2.12856,3.25758,0.97786,0.000267387,0.000267387,0.000267387
22,112.365,2.12796,1.70863,0.9791,0.08711,0.8575,0.50318,0.15614,2.12856,3.25758,0.97786,0.00027729,0.00027729,0.00027729
23,117.33,1.99957,1.66814,0.95991,0.09134,0.90154,0.59568,0.19396,2.07691,3.16484,0.96898,0.000286864,0.000286864,0.000286864
24,122.1,2.02742,1.55576,0.99102,0.09134,0.90154,0.59568,0.19396,2.07691,3.16484,0.96898,0.000296108,0.000296108,0.000296108
25,127.114,2.13442,1.67308,0.98603,0.09043,0.88596,0.62564,0.19389,2.09224,3.09023,0.97551,0.000305021,0.000305021,0.000305021
26,132.021,2.13375,1.48631,1.01605,0.09043,0.88596,0.62564,0.19389,2.09224,3.09023,0.97551,0.000313604,0.000313604,0.000313604
27,137.005,2.23765,1.56353,0.97806,0.08584,0.83115,0.57528,0.1574,2.13525,3.02858,0.99004,0.000321858,0.000321858,0.000321858
28,141.787,2.00257,1.3831,0.99028,0.08584,0.83115,0.57528,0.1574,2.13525,3.02858,0.99004,0.000329781,0.000329781,0.000329781
29,146.851,2.14175,1.42306,0.98,0.08361,0.81115,0.56126,0.13778,2.15388,2.96108,1.00334,0.000337374,0.000337374,0.000337374
30,151.737,2.04885,1.41465,1.00215,0.08361,0.81115,0.56126,0.13778,2.15388,2.96108,1.00334,0.000344637,0.000344637,0.000344637
31,156.784,2.18068,1.35785,0.96557,0.08003,0.77635,0.53693,0.12725,2.20767,2.88519,1.02504,0.00035157,0.00035157,0.00035157
32,161.625,1.91672,1.28824,0.96205,0.08003,0.77635,0.53693,0.12725,2.20767,2.88519,1.02504,0.000358173,0.000358173,0.000358173
33,166.474,2.03056,1.27205,0.95994,0.08181,0.80115,0.57943,0.15161,2.20438,2.76931,1.02895,0.000364446,0.000364446,0.000364446
34,171.348,2.00858,1.25795,0.98982,0.08181,0.80115,0.57943,0.15161,2.20438,2.76931,1.02895,0.000370389,0.000370389,0.000370389
35,176.112,1.95206,1.27124,0.95669,0.08938,0.88558,0.73385,0.23794,2.07544,2.61367,1.00576,0.000376002,0.000376002,0.000376002
36,181.048,1.93395,1.18859,0.97124,0.08938,0.88558,0.73385,0.23794,2.07544,2.61367,1.00576,0.000381285,0.000381285,0.000381285
37,185.961,1.94358,1.33805,0.98148,0.09225,0.92077,0.75133,0.28909,1.97766,2.51229,0.98837,0.000386237,0.000386237,0.000386237
38,190.728,2.0381,1.35907,0.97707,0.09225,0.92077,0.75133,0.28909,1.97766,2.51229,0.98837,0.00039086,0.00039086,0.00039086
